YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,SUM,SPRING,SUMMER,FALL,WINTER
1895,1.50,0.52,0.47,1.21,4.33,3.08,2.79,2.48,3.48,0.52,1.46,1.40,23.24,6.01,8.35,5.46,2.89
1896,1.06,0.43,1.52,4.85,4.94,3.62,2.97,2.88,3.69,2.59,2.96,0.81,32.32,11.31,9.47,9.24,3.96
1897,1.92,1.23,2.62,2.17,1.92,5.58,4.08,2.69,2.29,1.62,1.24,0.96,28.32,6.71,12.35,5.15,3.39
1898,0.90,1.53,2.38,1.99,2.87,3.71,2.40,3.19,1.92,4.21,1.53,0.39,27.02,7.24,9.30,7.66,2.44
1899,0.93,1.12,2.21,2.47,4.50,5.49,3.15,3.68,2.48,2.92,0.98,1.73,31.66,9.18,12.32,6.38,4.14
1900,1.01,1.40,1.34,2.56,1.62,2.03,7.88,4.86,5.96,6.10,1.36,0.81,36.93,5.52,14.77,13.42,2.18
1901,0.70,0.67,3.00,0.96,2.30,4.11,4.46,1.85,4.17,2.48,0.89,0.87,26.46,6.26,10.42,7.54,2.90
1902,0.81,1.22,1.28,2.02,5.14,3.69,6.23,2.22,3.24,1.89,2.72,2.31,32.77,8.44,12.14,7.85,3.84
1903,0.49,1.04,2.38,3.06,5.59,1.67,6.13,6.35,5.44,2.42,0.96,0.84,36.37,11.03,14.15,8.82,2.41
1904,0.47,1.10,2.13,1.83,4.45,3.94,3.25,3.02,4.96,4.20,0.23,1.84,31.42,8.41,10.21,9.39,3.82
1905,0.96,1.02,1.62,1.43,4.99,6.47,3.82,4.68,3.30,2.77,1.94,0.94,33.94,8.04,14.97,8.01,3.80
1906,2.13,0.73,2.26,1.55,4.43,4.62,2.49,4.21,3.54,2.89,2.99,1.52,33.36,8.24,11.32,9.42,3.83
1907,1.76,0.55,1.74,2.16,2.45,3.21,4.60,4.27,4.95,0.79,1.15,1.01,28.64,6.35,12.08,6.89,3.33
1908,0.78,1.54,2.02,3.36,5.06,4.17,3.57,1.80,2.40,1.54,1.57,1.19,29.00,10.44,9.54,5.51,3.88
1909,1.15,1.54,1.23,4.15,2.85,3.41,3.09,3.64,3.11,1.40,3.82,2.02,31.41,8.23,10.14,8.33,4.00
1910,1.21,0.77,0.13,2.94,2.37,0.90,1.95,3.66,3.27,1.35,1.19,0.79,20.53,5.44,6.51,5.81,3.34
1911,0.89,1.66,1.09,1.66,4.57,3.42,3.99,3.80,5.14,5.74,2.54,2.07,36.57,7.32,11.21,13.42,3.28
1912,0.66,0.55,0.79,2.27,5.54,1.41,6.07,5.95,3.65,2.04,0.87,1.87,31.67,8.60,13.43,6.56,3.75
1913,0.87,1.01,2.89,1.97,5.51,3.12,6.63,2.52,3.65,2.98,1.49,0.22,32.86,10.37,12.27,8.12,2.04
1914,1.20,0.62,1.49,2.96,3.44,7.17,3.33,4.05,4.10,2.30,1.01,0.81,32.48,7.89,14.55,7.41,4.32
1915,1.35,2.16,0.59,0.98,4.91,4.05,4.13,3.59,5.21,1.97,3.23,0.81,32.98,6.48,11.77,10.41,3.97
1916,2.39,0.77,1.99,3.07,4.02,6.18,1.63,3.07,4.96,3.17,1.70,0.93,33.88,9.08,10.88,9.83,3.15
1917,1.47,0.75,2.26,2.55,2.42,5.09,3.01,2.86,2.91,3.35,0.30,0.55,27.52,7.23,10.96,6.56,3.33
1918,1.68,1.10,1.45,2.02,6.53,2.29,2.88,3.78,1.74,2.55,2.25,1.63,29.90,10.00,8.95,6.54,4.01
1919,0.57,1.81,1.65,3.44,2.72,5.09,4.48,2.84,3.59,3.80,3.11,0.76,33.86,7.81,12.41,10.50,2.65
1920,1.36,0.53,3.20,2.40,2.68,6.44,2.45,2.67,1.89,2.25,2.30,1.89,30.06,8.28,11.56,6.44,3.09
1921,0.51,0.69,2.24,4.16,3.46,2.44,3.80,3.61,4.93,1.91,1.28,1.93,30.96,9.86,9.85,8.12,5.96
1922,0.83,3.20,2.00,3.56,3.55,4.42,3.89,1.84,3.43,1.01,3.27,0.70,31.70,9.11,10.15,7.71,2.79
1923,1.42,0.67,2.15,2.17,2.17,4.95,3.35,2.80,3.15,1.57,0.74,1.35,26.49,6.49,11.10,5.46,3.19
1924,0.82,1.02,2.17,4.09,3.22,4.18,3.54,7.02,3.33,0.71,1.59,1.12,32.81,9.48,14.74,5.63,2.63
1925,0.44,1.07,0.86,2.01,1.20,6.43,4.34,2.20,4.82,1.92,1.01,1.45,27.75,4.07,12.97,7.75,3.89
1926,0.80,1.64,1.70,1.66,3.53,4.09,3.78,4.64,6.38,2.98,2.75,1.51,35.46,6.89,12.51,12.11,2.92
1927,0.80,0.61,2.21,2.39,4.62,2.83,4.18,1.21,5.06,2.98,2.45,1.94,31.28,9.22,8.22,10.49,3.89
1928,0.47,1.48,1.41,2.57,2.10,4.23,4.05,6.07,4.18,4.11,1.81,1.00,33.48,6.08,14.35,10.10,4.74
1929,2.55,1.19,1.56,3.82,2.32,3.84,3.31,1.91,3.62,1.99,0.93,0.65,27.69,7.70,9.06,6.54,3.16
1930,1.10,1.41,1.28,1.95,3.62,5.50,2.64,1.06,3.20,2.40,1.34,0.39,25.89,6.85,9.20,6.94,1.61
1931,0.63,0.59,1.58,1.24,1.77,4.86,2.09,2.75,5.65,3.11,4.21,1.07,29.55,4.59,9.70,12.97,4.38
1932,1.96,1.35,1.12,1.60,3.06,3.01,3.05,3.81,1.40,1.82,1.93,1.70,25.81,5.78,9.87,5.15,3.95
1933,1.14,1.11,1.93,2.71,4.88,2.59,2.88,1.58,3.32,2.32,0.80,1.24,26.50,9.52,7.05,6.44,2.38
1934,0.80,0.34,1.46,2.08,1.29,3.88,2.79,2.86,6.32,2.42,4.81,1.31,30.36,4.83,9.53,13.55,4.06
1935,1.93,0.82,1.35,2.42,2.58,5.20,4.53,4.21,2.37,2.66,1.97,0.88,30.92,6.35,13.94,7.00,3.66
1936,1.22,1.56,1.73,1.23,2.85,2.25,0.99,5.14,3.41,2.16,0.96,1.86,25.36,5.81,8.38,6.53,5.99
1937,2.20,1.93,0.59,3.21,3.10,2.79,2.16,2.88,3.08,3.08,1.50,0.82,27.34,6.90,7.83,7.66,4.57
1938,1.80,1.95,2.60,3.15,5.30,5.19,4.41,4.89,7.01,1.34,2.45,1.19,41.28,11.05,14.49,10.80,4.69
1939,1.78,1.72,0.97,2.34,2.83,5.51,2.02,3.64,2.52,1.79,0.34,0.86,26.32,6.14,11.17,4.65,2.74
1940,0.83,1.05,1.32,2.40,3.53,6.36,2.71,5.95,1.21,2.18,3.38,1.42,32.34,7.25,15.02,6.77,3.48
1941,1.33,0.73,1.27,2.21,4.24,2.75,2.75,5.04,6.48,4.80,1.36,1.38,34.34,7.72,10.54,12.64,2.52
1942,0.61,0.53,2.44,1.74,6.41,4.60,4.19,2.67,6.59,1.93,1.87,1.80,35.38,10.59,11.46,10.39,3.92
1943,1.57,0.55,2.13,1.67,4.50,6.04,2.83,4.28,1.98,2.11,1.98,0.26,29.90,8.30,13.15,6.07,2.43
1944,0.93,1.24,2.05,2.32,3.85,6.25,2.47,3.43,3.03,0.59,2.30,0.77,29.23,8.22,12.15,5.92,3.49
1945,0.70,2.02,2.00,3.89,4.17,4.68,3.50,4.86,3.59,0.85,3.53,1.44,35.23,10.06,13.04,7.97,4.25
1946,1.97,0.84,1.76,0.79,2.86,6.52,1.70,2.21,4.74,2.77,2.31,1.37,29.84,5.41,10.43,9.82,2.81
1947,1.11,0.33,1.11,3.88,3.77,4.53,2.66,3.78,3.69,1.51,2.15,0.95,29.47,8.76,10.97,7.35,3.11
1948,0.49,1.67,1.88,2.52,2.03,3.01,3.18,1.99,1.87,1.00,3.22,1.30,24.16,6.43,8.18,6.09,3.82
1949,1.84,0.68,2.35,1.57,2.36,4.93,5.72,2.25,2.14,1.86,1.33,1.20,28.23,6.28,12.90,5.33,4.52
1950,2.41,0.91,2.23,3.18,2.96,4.03,5.58,2.73,1.96,1.40,1.26,1.98,30.63,8.37,12.34,4.62,4.52
1951,0.83,1.71,3.31,3.96,3.22,4.88,5.04,4.50,3.84,3.92,1.90,1.21,38.32,10.49,14.42,9.66,3.57
1952,1.74,0.62,2.28,1.62,3.07,4.78,5.89,4.68,0.83,0.17,1.91,1.17,28.76,6.97,15.35,2.91,4.20
1953,0.90,2.13,1.88,3.52,3.04,4.86,4.29,3.92,1.35,0.36,1.49,1.84,29.58,8.44,13.07,3.20,3.32
1954,0.70,0.78,1.58,5.18,3.81,6.13,3.99,2.97,5.30,4.05,0.91,0.80,36.20,10.57,13.09,10.26,2.40
1955,0.58,1.02,1.42,2.91,3.41,3.55,4.91,3.07,1.65,3.16,1.12,1.03,27.83,7.74,11.53,5.93,1.99
1956,0.48,0.48,1.99,2.09,3.71,4.07,4.12,4.55,1.54,1.02,2.38,0.72,27.15,7.79,12.74,4.94,1.75
1957,0.37,0.66,0.92,2.20,4.24,4.11,3.89,3.98,2.47,1.45,2.91,1.03,28.23,7.36,11.98,6.83,1.66
1958,0.52,0.11,0.52,2.55,2.10,3.32,4.24,3.46,3.25,2.17,1.86,0.35,24.45,5.17,11.02,7.28,2.30
1959,0.74,1.21,1.89,2.04,4.45,2.92,3.80,6.88,5.25,4.10,1.46,2.27,37.01,8.38,13.60,10.81,4.33
1960,1.34,0.72,0.65,3.63,5.83,3.96,3.24,5.76,3.94,2.39,1.99,0.46,33.91,10.11,12.96,8.32,1.87
1961,0.18,1.23,2.91,2.13,2.76,3.03,3.98,2.48,5.60,3.39,2.74,1.27,31.70,7.80,9.49,11.73,3.89
1962,0.85,1.77,1.35,1.94,4.48,3.16,3.61,4.94,3.33,2.10,0.50,0.73,28.76,7.77,11.71,5.93,1.80
1963,0.53,0.54,1.94,2.07,2.94,3.09,3.08,2.89,3.51,1.09,1.54,0.76,23.98,6.95,9.06,6.14,1.70
1964,0.72,0.22,1.46,3.40,4.38,2.10,3.56,3.78,5.02,0.50,2.09,1.10,28.33,9.24,9.44,7.61,3.20
1965,0.90,1.20,2.40,3.62,4.39,2.78,4.00,4.30,7.67,1.62,2.81,2.48,38.17,10.41,11.08,12.10,4.77
1966,1.06,1.23,3.12,1.76,1.67,3.06,3.68,4.40,1.81,2.32,1.17,1.69,26.97,6.55,11.14,5.30,5.38
1967,2.62,1.07,1.35,3.30,2.33,7.23,2.14,3.63,2.11,3.64,0.93,0.92,31.27,6.98,13.00,6.68,2.16
1968,0.88,0.36,1.17,4.17,4.56,7.84,4.45,2.39,5.73,2.62,1.11,2.98,38.26,9.90,14.68,9.46,5.79
1969,2.70,0.11,1.00,2.22,2.95,6.06,3.72,1.28,2.32,3.59,0.95,1.57,28.47,6.17,11.06,6.86,2.50
1970,0.67,0.26,1.32,1.82,5.99,2.63,4.03,1.50,6.02,4.12,2.61,1.43,32.40,9.13,8.16,12.75,5.78
1971,1.79,2.56,1.32,1.45,3.21,3.58,3.82,3.12,3.53,2.99,2.74,2.44,32.55,5.98,10.52,9.26,4.10
1972,0.92,0.74,1.98,2.25,2.40,3.11,5.53,6.44,5.88,2.69,1.61,2.42,35.97,6.63,15.08,10.18,4.54
1973,1.18,0.94,3.24,4.19,6.68,3.07,2.59,3.97,3.65,2.66,1.55,1.76,35.48,14.11,9.63,7.86,3.82
1974,1.01,1.05,1.68,3.12,3.86,4.35,2.69,4.33,1.88,1.84,1.94,1.23,28.98,8.66,11.37,5.66,4.08
1975,1.65,1.20,2.21,3.69,2.70,4.77,1.93,5.72,2.49,0.94,4.04,1.14,32.48,8.60,12.42,7.47,3.86
1976,1.34,1.38,3.77,3.11,2.11,2.15,2.80,1.76,0.95,0.99,0.23,0.47,21.06,8.99,6.71,2.17,1.98
1977,0.57,0.94,4.02,3.20,2.65,4.04,4.78,4.69,4.51,2.52,2.56,1.76,36.24,9.87,13.51,9.59,2.97
1978,0.89,0.32,0.38,3.58,4.04,4.47,6.77,4.71,5.09,1.44,2.27,1.34,35.30,8.00,15.95,8.80,4.16
1979,1.54,1.28,3.52,1.91,3.71,4.35,3.42,5.14,0.99,3.64,2.01,0.83,32.34,9.14,12.91,6.64,2.93
1980,1.69,0.41,0.75,2.00,2.49,5.00,3.46,7.81,6.20,1.88,0.77,0.97,33.43,5.24,16.27,8.85,3.55
1981,0.13,2.45,0.70,4.26,1.93,5.09,3.39,4.95,2.89,3.29,0.89,1.05,31.02,6.89,13.43,7.07,3.11
1982,1.80,0.26,1.95,3.17,4.20,2.71,5.37,3.47,3.54,3.64,3.67,2.81,36.59,9.32,11.55,10.85,5.04
1983,1.03,1.20,1.93,2.27,4.39,2.31,3.95,4.96,4.52,3.06,3.72,1.45,34.79,8.59,11.22,11.30,3.35
1984,0.51,1.39,1.32,3.63,2.79,5.34,3.38,3.27,4.25,4.68,2.20,2.22,34.98,7.74,11.99,11.13,4.20
1985,0.71,1.27,2.77,2.42,3.21,2.98,3.30,4.83,6.25,3.25,4.26,1.61,36.86,8.40,11.11,13.76,3.58
1986,0.67,1.30,1.85,2.86,2.14,4.41,5.49,3.78,8.38,2.69,1.14,0.50,35.21,6.85,13.68,12.21,1.32
1987,0.67,0.15,1.38,1.93,3.32,2.34,5.34,3.79,2.82,1.90,2.88,2.06,28.58,6.63,11.47,7.60,3.69
1988,1.31,0.32,1.57,1.95,1.32,1.54,2.61,4.24,4.43,1.67,3.42,1.21,25.59,4.84,8.39,9.52,2.39
1989,0.71,0.47,1.92,1.43,4.10,2.63,3.17,3.99,1.88,2.41,1.30,0.47,24.48,7.45,9.79,5.59,2.15
1990,0.94,0.74,2.90,2.71,4.23,6.63,3.14,5.41,3.67,2.81,1.26,1.57,36.01,9.84,15.18,7.74,2.86
1991,0.65,0.64,2.88,3.88,4.85,3.66,4.85,2.39,4.75,3.36,5.28,1.28,38.47,11.61,10.90,13.39,2.89
1992,0.79,0.82,1.90,3.04,2.05,2.15,4.27,2.87,5.84,1.65,3.79,1.84,31.01,6.99,9.29,11.28,3.74
1993,1.42,0.48,1.15,4.32,4.87,7.12,4.95,4.01,3.36,1.61,1.78,0.58,35.65,10.34,16.08,6.75,2.96
1994,1.27,1.11,0.76,3.62,1.79,3.67,4.99,3.98,5.23,1.73,2.21,0.53,30.89,6.17,12.64,9.17,1.61
1995,0.74,0.34,2.17,2.94,3.64,2.25,3.54,7.24,2.11,4.95,1.97,0.99,32.88,8.75,13.03,9.03,4.33
1996,2.64,0.70,1.50,2.42,2.56,6.40,4.27,2.38,2.43,3.61,2.28,1.81,33.00,6.48,13.05,8.32,4.67
1997,1.98,0.88,1.87,0.97,3.01,4.11,4.99,4.18,2.90,2.18,0.73,0.63,28.43,5.85,13.28,5.81,4.01
1998,1.79,1.59,3.65,2.34,3.42,6.22,1.71,4.21,2.30,2.74,1.77,0.69,32.43,9.41,12.14,6.81,4.00
1999,2.13,1.18,0.53,4.13,4.88,4.18,7.58,3.28,2.12,1.28,1.25,0.71,33.25,9.54,15.04,4.65,3.15
2000,1.17,1.27,1.36,2.42,4.26,6.69,4.33,3.80,3.78,0.89,2.71,1.51,34.19,8.04,14.82,7.38,4.33
2001,1.17,1.65,0.68,4.86,4.91,4.73,2.61,4.48,4.04,2.43,2.26,1.23,35.05,10.45,11.82,8.73,3.51
2002,0.50,1.78,2.27,4.21,3.00,5.64,3.63,4.58,4.57,3.93,0.39,0.58,35.08,9.48,13.85,8.89,1.58
2003,0.36,0.64,1.85,2.76,4.82,3.35,3.28,1.96,3.15,1.37,3.17,1.31,28.02,9.43,8.59,7.69,3.78
2004,0.81,1.66,3.08,2.17,7.54,4.57,3.10,3.05,2.17,3.61,1.65,1.50,34.91,12.79,10.72,7.43,4.40
2005,1.66,1.24,1.22,1.60,2.61,3.81,3.08,2.70,3.77,2.92,2.92,1.02,28.55,5.43,9.59,9.61,3.17
2006,1.40,0.75,2.09,2.62,4.16,2.22,3.50,4.34,3.19,2.32,1.71,1.78,30.08,8.87,10.06,7.22,3.82
2007,0.93,1.11,2.29,2.48,2.62,2.99,3.06,6.94,3.30,4.85,0.31,2.61,33.49,7.39,12.99,8.46,5.54
2008,1.32,1.61,1.10,5.19,3.11,6.19,3.97,1.67,2.67,2.12,1.28,2.49,32.72,9.40,11.83,6.07,4.22
2009,0.63,1.10,2.17,3.08,2.88,3.29,2.17,4.79,1.15,5.36,0.85,2.29,29.76,8.13,10.25,7.36,3.75
2010,0.89,0.57,0.73,2.34,3.15,7.12,7.50,4.64,6.31,2.34,1.71,1.72,39.02,6.22,19.26,10.36,3.76
2011,0.91,1.13,2.38,3.71,3.05,4.22,4.61,3.04,3.08,1.51,1.95,1.45,31.04,9.14,11.87,6.54,3.76
2012,1.02,1.29,2.00,2.68,4.81,3.34,3.19,2.34,1.50,3.78,1.11,1.74,28.80,9.49,8.87,6.39,5.06
2013,1.69,1.63,1.93,4.85,5.37,6.21,2.46,2.77,2.17,3.54,2.33,1.58,36.53,12.15,11.44,8.04,3.98
2014,1.13,1.27,1.10,5.04,3.80,6.71,2.51,5.20,3.86,3.07,2.03,1.36,37.08,9.94,14.42,8.96,2.31
2015,0.53,0.42,0.73,2.94,4.65,4.44,3.38,4.00,4.39,2.70,3.42,4.28,35.88,8.32,11.82,10.51,5.94
2016,0.84,0.82,3.93,2.21,3.06,5.36,5.20,5.21,5.99,2.95,1.84,1.98,39.39,9.20,15.77,10.78,5.35
2017,2.03,1.34,1.99,4.59,4.94,5.94,4.46,4.10,1.90,4.30,0.91,1.07,37.57,11.52,14.50,7.11,3.78
2018,1.20,1.51,0.92,2.53,4.70,5.44,3.11,6.07,5.52,5.25,1.94,1.55,39.74,8.15,14.62,12.71,6.10
2019,1.43,3.12,1.34,3.72,5.56,3.91,5.33,3.54,7.03,4.88,2.03,2.66,44.55,10.62,12.78,13.94,4.68
2020,1.34,0.68,3.04,2.27,3.97,5.00,5.55,3.33,3.17,3.00,2.06,0.78,34.19,9.28,13.88,8.23,1.93
2021,0.84,0.88,1.87,2.37,2.99,3.92,4.35,5.46,2.08,2.02,1.24,1.91,29.93,7.23,13.73,5.34,3.06
2022,0.50,0.65,3.19,3.39,3.90,3.07,3.60,4.79,,,,,,10.48,11.46,,