TEMPERATURE NORMALS (Degrees Fahrenheit),,,,,,,,,,,,"Compiled by E.J. Hopkins, PhD Wisconsin State Climatology Office",,,,,,,,,,
,,,,,,,,,,,,From Climatography of the US 81: Monthly Station Normals 1971-2000 Wisconsin,,,,,,,,,,
COOPID,NO.,STATION NAME,,ELEMENT,LATITUDE,LONGITUDE,ELEV,ZONE,,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
________,,,,,,,,,,,,,,,,,,,,,,

MAXIMUM TEMPERATURE,,,,,,,,,,,,,,,,,,,,,,

470045,1,AFTON,,MAX,42.617,-89.067,742,8,,26.7,32,44.7,57.9,70.8,80.6,83.8,81.3,74.1,61.3,45.1,31.4,57.5
470124,2,ALMA DAM 4,,MAX,44.333,-91.933,670,4,,23.4,30.3,41.8,57.3,70,78.6,82.5,79.8,70.7,58.3,40.6,27.3,55.1
470175,3,AMERY,,MAX,45.3,-92.367,1070,1,,19.4,26.5,38.2,54.3,68.1,76.3,80.8,78.3,68.9,56.5,38.5,24.3,52.5
470239,4,ANTIGO,,MAX,45.15,-89.117,1521,3,,20.2,26.1,37,52.4,66.6,74.9,79,76.4,66.5,55,38.3,24.6,51.4
470265,5,APPLETON,,MAX,44.25,-88.367,750,6,,24.1,29.4,40.2,54.4,68.3,77.1,81.4,78.7,70.2,57.5,41.9,28.9,54.3
470273,6,ARBORETUM UNIV WIS,,MAX,43.05,-89.4,865,8,,27.3,33,44.5,57.7,70.3,79.7,83.6,81.5,73.9,61.9,45.5,32.3,57.6
470308,7,ARLINGTON UNIV FARM,,MAX,43.3,-89.35,1080,8,,23,28.6,40.4,55.1,67.6,77.4,80.7,78.5,70.7,59,41.6,28.2,54.2
470349,8,ASHLAND EXP FARM,,MAX,46.567,-90.967,650,1,,19.9,27.1,36.8,50.2,64.8,73.9,79.3,77.1,67.8,56.2,38.2,24.8,51.3
470516,10,BARABOO,,MAX,43.45,-89.733,823,7,,26.1,31.9,43.3,57,69.8,79,82.9,80.6,72.3,60.3,43.9,31.1,56.5
470603,11,BAYFIELD 6 N,,MAX,46.883,-90.817,820,1,,20.9,26.9,36.7,49.8,63.6,72.2,77,75.2,66,54.5,38.3,25.8,50.6
470645,12,BEAVER DAM,,MAX,43.45,-88.85,840,8,,24.3,29.4,41.3,55.5,68,77.3,80.8,78.4,70.9,59.8,43,29.6,54.9
470696,13,BELOIT,,MAX,42.5,-89.033,780,8,,26.5,31.7,43.7,57.5,69.5,79.2,82.5,80.1,72.9,61.5,44.9,31.7,56.8
470773,14,BIG FALLS HYDRO,,MAX,45.55,-90.95,1220,1,,21.6,28.6,39.5,54.6,68.8,76.5,80.6,77.9,68.7,56.6,38.6,25.6,53.1
470882,15,BLAIR,,MAX,44.3,-91.233,860,4,,24.4,31.4,42.9,57.8,70.3,78.8,82.7,80.4,71.9,59.9,42.7,29,56
470904,17,BLOOMER,,MAX,45.1,-91.483,980,1,,19.9,26.7,38.9,55.4,68.8,78,82.4,79.6,70,57.5,39.1,24.3,53.4
470991,19,BOWLER,,MAX,44.85,-88.983,1080,3,,21.2,27.6,38.6,53.4,67,75.1,79.5,76.8,67.4,56.1,40,26.2,52.4
471044,21,BREED 6 SSE,,MAX,44.983,-88.383,860,3,,23.6,28.8,39.6,54.6,68.6,76.8,81,78.4,69.3,57.5,40.7,27.6,53.9
471078,23,BRODHEAD,,MAX,42.617,-89.383,790,8,,25.9,31.2,43.3,57.2,69.8,79.5,83,80.5,73.1,61.2,44.7,31.2,56.7
471139,25,BRULE ISLAND,,MAX,45.95,-88.217,1250,3,,20,25.8,36.3,50.9,65.9,74.1,78.5,75.8,65.3,52.9,36.5,24.5,50.5
471205,27,BURLINGTON,,MAX,42.65,-88.25,751,9,,26.5,31.6,42.5,55.5,68.3,78,82,79.7,72.3,60.3,45.2,31.9,56.2
471280,28,CASHTON,,MAX,43.75,-90.783,1380,4,,22,28.9,40.6,56.2,68.9,77.3,80.8,78.3,69.6,57.4,39.7,26.2,53.8
471416,30,CHARMANY FARM,,MAX,43.067,-89.483,910,8,,23.5,28.9,40.8,54.3,66.6,76.7,80.6,78,69.7,58.5,42.4,29.1,54.1
471568,31,CHILTON,,MAX,44.033,-88.15,840,6,,24.1,28.9,40.5,55.1,68.9,78.2,82.4,79.6,71.3,59.1,42.8,29.3,55
471676,33,CLINTONVILLE,,MAX,44.617,-88.75,800,5,,23.3,28.7,39.3,54.1,67.7,76.5,80.6,77.8,69.4,57.5,41.5,27.9,53.7
471847,34,COUDERAY 7 W,,MAX,45.8,-91.467,1300,1,,18.7,25.6,37.8,51.9,67.8,74.5,79,76,66.4,54.8,36.8,24.1,51.1
471897,35,CRIVITZ HIGH FALLS,,MAX,45.35,-88.2,1050,3,,23.9,28.9,39.1,53.6,67.9,76.1,79.9,77.6,68.6,56.6,40.5,28.1,53.4
471923,36,CUMBERLAND,,MAX,45.533,-92.017,1240,1,,18.5,25.8,37.7,54,68,76.5,80.5,77.8,67.5,55.3,36.7,22.3,51.7
471970,38,DALTON,,MAX,43.65,-89.2,860,5,,26.6,32.6,44.1,58.8,71.8,80.5,83.9,81.5,73.1,61.2,44.2,31.1,57.5
471978,39,DANBURY,,MAX,46,-92.367,925,1,,19.8,27,38.3,54.1,67.6,75.2,79,77,67.6,56.4,38.2,24.1,52
472001,40,DARLINGTON,,MAX,42.683,-90.1,930,7,,26.7,32.9,44.8,58.3,70.5,79.6,83.2,80.8,72.6,61,44.3,31.1,57.2
472165,41,DODGE,,MAX,44.133,-91.55,685,4,,26.1,32.9,45,60.1,72.7,80.9,85.1,82.3,73.4,61.8,43.1,30,57.8
472173,42,DODGEVILLE,,MAX,42.983,-90.117,1110,7,,24.7,30.5,42.5,56.6,68.5,78.2,81.9,79.6,71.4,59.6,42.8,29.7,55.5
472240,43,DRUMMOND,,MAX,46.333,-91.267,1340,1,,20.6,27.9,38.6,53.9,68.9,76.3,80.3,78,68.7,56.3,37.3,24.5,52.6
472314,44,EAGLE RIVER,,MAX,45.917,-89.25,1645,2,,20.7,25.9,36.3,50.5,65.8,74.7,78.1,75.1,65.1,52.5,36.7,24.6,50.5
472428,45,EAU CLAIRE RGNL AP,,MAX,44.867,-91.483,885,4,,21.3,28.4,40.4,56.6,70.2,78.5,82.6,79.9,70.4,57.9,40,25.9,54.3
472556,47,ELLSWORTH 1 E,,MAX,44.733,-92.467,1030,4,,21.6,28.7,40.4,56.6,69.3,77.6,81.9,79.6,71.5,59.4,40.2,25.9,54.4
472678,48,FAIRCHILD RANGER STA,,MAX,44.6,-90.967,1080,4,,19.8,27.2,39.2,54.7,67.8,76.3,80.3,78.1,69.1,56.9,39.5,24.6,52.8
472839,49,FOND DU LAC,,MAX,43.8,-88.45,760,6,,24,29,40.3,54.1,68,77,81.1,78.2,70.1,57.9,42.1,29,54.2
472869,50,FORT ATKINSON,,MAX,42.9,-88.85,800,8,,25.9,31.2,43,56.8,69.5,79.3,83,80.4,72.7,60.8,44.6,31.2,56.5
472889,51,FOXBORO,,MAX,46.483,-92.283,932,1,,20,27.1,37.3,52.1,65.8,74.4,79,77.2,67.7,55.9,37.6,24.2,51.5
473022,53,GAYS MILLS,,MAX,43.317,-90.85,710,7,,24.6,31.1,42.6,57.2,69.5,78.6,82.7,80.2,72,60.4,43.3,29.9,56
473038,54,GENOA DAM 8,,MAX,43.567,-91.233,639,7,,25.1,31.4,43.2,58.1,70.5,78.9,82.5,80.1,71.8,60.2,43.2,29.7,56.2
473058,55,GERMANTOWN,,MAX,43.217,-88.117,850,9,,24.9,29.8,40.3,53.3,66.1,75.9,80.2,78,70.5,58.4,43.5,30.3,54.3
473174,56,GOODMAN,,MAX,45.633,-88.35,1430,3,,21,26.6,37.1,51.2,65.4,72.8,76.4,73.9,64.9,53.8,38.3,25.7,50.6
473186,58,GORDON,,MAX,46.25,-91.8,1040,1,,18.8,26.6,37.7,53,67.4,75.6,79.8,76.8,67,54.6,36.9,23.5,51.5
473244,59,GRANTSBURG,,MAX,45.767,-92.683,990,1,,19.5,26.9,38.8,55.2,68.9,76.1,80.3,77.9,68,56.2,38.3,24.2,52.5
473269,60,GREEN BAY STRBL INTL AP,,MAX,44.483,-88.133,687,6,,24.1,28.9,40,54.6,68,76.8,81.2,78.5,70.2,57.9,42.4,29,54.3
473332,61,GURNEY,,MAX,46.467,-90.517,970,2,,19.6,26,36.4,49.7,63.9,72.1,76.7,74.7,65.9,54.8,38.1,24.5,50.2
473405,62,HANCOCK EXP FARM,,MAX,44.117,-89.533,1076,5,,21.5,27.7,39,54.8,67.7,76.6,80,77.2,69.2,57.7,40.2,26.2,53.2
473453,63,HARTFORD 2 W,,MAX,43.333,-88.417,980,9,,24.5,29.5,40.9,54.3,67.5,77.1,81.1,78.6,70.4,58.9,43,29.9,54.6
473471,64,HATFIELD HYDRO PLANT,,MAX,44.383,-90.767,892,4,,22.5,29.7,41.8,56.7,69.1,77.4,80.9,78.6,70.7,59.5,41,26.7,54.6
473654,66,HILLSBORO,,MAX,43.65,-90.333,940,7,,24.1,30.6,42.2,56.5,68.9,78.1,82.2,79.7,71.2,59.7,43,29.3,55.5
473698,67,HOLCOMBE,,MAX,45.233,-91.133,1025,1,,21.6,28.6,39.8,55.1,68.5,76.2,80.6,77.9,69.2,57.4,39.6,25.7,53.4
473756,68,HORICON,,MAX,43.433,-88.633,880,8,,25.4,30,41.6,55.5,68.6,77.8,81.8,79.4,71.6,59.9,43.9,30.6,55.5
473800,69,HURLEY,,MAX,46.467,-90.2,970,2,,19.1,25.5,35.5,49,64.5,72.6,76.3,74.5,64.8,52.9,36,23.9,49.6
474080,70,JUMP RIVER 3 E,,MAX,45.367,-90.767,1265,2,,20.8,27.5,39.1,54.6,68.1,75.3,79.3,77,68,56.3,38.3,24.8,52.4
474174,71,KENOSHA,,MAX,42.567,-87.817,600,9,,28.4,32.3,41.5,50.9,62.1,72.7,78.7,77.7,70.5,59.3,46,33.8,54.5
474195,72,KEWAUNEE 3 NW,,MAX,44.483,-87.533,702,6,,25.7,29.1,38.6,49.3,61.7,71.6,77.2,75.5,68.3,56,42.9,30.2,52.2
474370,73,LA CROSSE MUNICIPAL AP,,MAX,43.883,-91.25,651,4,,25.5,32.4,44.6,59.7,72.5,81.3,85.2,82.5,73.7,61.1,43.6,29.9,57.7
474457,75,LAKE GENEVA,,MAX,42.6,-88.433,880,9,,27.9,33.5,44.7,58.6,71.8,81.6,85.6,83.1,75.3,62.5,46.1,32.9,58.6
474482,76,LAKE MILLS,,MAX,43.083,-88.917,852,8,,25.7,31.1,42.8,57.1,69.8,79.7,83.8,80.6,72.5,60.7,43.8,30.5,56.5
474523,77,LAKEWOOD 3 NE,,MAX,45.317,-88.5,1290,3,,22.6,28.6,39.5,54.1,68.6,76.4,80.3,77.5,68.2,55.8,39.1,26.6,53.1
474546,78,LANCASTER 4 WSW,,MAX,42.833,-90.783,1040,7,,22.5,29.1,41,55.5,67.3,76.6,80.3,77.9,69.6,58.1,41,27.7,53.9
474582,79,LAONA 6 SW,,MAX,45.5,-88.767,1525,3,,19.5,25.9,36.6,51.5,65.3,71.6,74.9,72.1,63.2,53.3,36.3,23.5,49.5
474821,80,LONE ROCK TRI CO,,MAX,43.2,-90.183,719,7,,24.5,30.4,42.3,56.8,69.7,78.8,82.4,80.3,72.3,60.5,43.9,30,56
474829,81,LONG LAKE DAM,,MAX,45.883,-89.133,1630,2,,21.7,28,38.2,52.1,66.4,73.8,77.8,75.7,66.2,54.2,37.7,25.5,51.4
474894,82,LUCK,,MAX,45.583,-92.483,1220,1,,19.6,26.7,38.5,55.1,68.7,76.1,80.5,78,69.1,57.1,38,23.8,52.6
474937,83,LYNXVILLE DAM 9,,MAX,43.217,-91.1,633,7,,25.5,31.8,43.6,58.4,70.8,79.6,83.6,81.2,73.1,61.2,44,30.3,56.9
474953,84,MADELINE ISLAND,,MAX,46.783,-90.767,660,2,,21,26.5,35.4,48.1,61.2,70.6,76.6,75.4,66.7,54.6,38.2,26.1,50
474961,85,MADISON DANE CO AP,,MAX,43.133,-89.35,858,8,,25.2,30.8,42.8,56.6,69.4,78.3,82.1,79.4,71.4,59.6,43.3,30.2,55.8
475017,86,MANITOWOC,,MAX,44.083,-87.683,660,6,,26.5,30.4,39.9,52.1,64.9,74.6,79.6,77.6,69.8,57.4,43.5,31.3,54
475091,87,MARINETTE,,MAX,45.083,-87.633,610,3,,24.7,28.9,39.2,52.6,66.2,76.1,81.3,78.5,69.4,56.9,42.3,29.6,53.8
475120,88,MARSHFIELD EXP FARM,,MAX,44.633,-90.133,1250,5,,21.2,27.5,39,54.9,67.6,76.9,81.1,78.4,69.3,57.7,40,25.8,53.3
475164,90,MATHER 3 NW,,MAX,44.183,-90.367,970,4,,22.9,29.5,40.6,55.4,68.9,77.3,81.3,78.9,70.2,58.2,41.5,27.8,54.4
475178,91,MAUSTON 1 SE,,MAX,43.783,-90.067,865,5,,24.9,31.1,42.5,57,69.5,78.4,82.1,79.4,71,59.9,43.1,29.8,55.7
475255,92,MEDFORD,,MAX,45.133,-90.35,1470,2,,19.8,26.2,36.9,52.3,66.4,74.3,78.6,76.5,67.3,54.9,37.8,24.4,51.3
475286,93,MELLEN 4 NE,,MAX,46.367,-90.65,1300,2,,19.3,26.1,36.6,50.5,65,73,77.4,75.1,65.7,54,37.1,23.8,50.3
475335,94,MENOMONIE,,MAX,44.883,-91.933,780,4,,23.5,30.4,42.1,58.4,70.7,78.3,82.3,79.6,71,59.5,41.6,27.7,55.4
475364,95,MERRILL,,MAX,45.167,-89.667,1253,2,,21,27.3,38.2,53.2,67.2,75.4,79.6,77.3,67.9,55.8,38.9,25.5,52.3
475474,96,MILWAUKEE MT MARY COL,,MAX,43.067,-88.033,726,9,,28.4,33.2,44.2,56.7,69.7,80.1,85.1,82.3,74.2,61.6,46,33.8,57.9
475479,97,MILWAUKEE MITCHELL AP,,MAX,42.95,-87.9,672,9,,28,32.5,42.6,53.9,66,76.3,81.1,79.1,71.9,60.2,45.7,33.1,55.9
475516,98,MINOCQUA DAM,,MAX,45.867,-89.717,1580,2,,19.7,26.5,36.9,51,65.9,73.3,77.3,75.3,65.8,53.5,36.8,23.6,50.5
475525,99,MINONG 5 WSW,,MAX,46.067,-91.867,1075,1,,20.7,28.4,39.2,55.1,69.9,77,80.1,77.7,68.3,56.4,38,24.5,52.9
475563,100,MONDOVI,,MAX,44.567,-91.683,830,4,,24.2,31.4,43.3,59.6,72,79.9,83.5,80.9,72.3,60.7,42.3,28.5,56.6
475581,102,MONTELLO,,MAX,43.783,-89.317,786,5,,25.3,31,42.4,56.6,69.5,78.9,82.8,79.9,71.6,59.9,43.5,30.3,56
475786,104,NECEDAH,,MAX,44.033,-90.083,925,5,,25.3,32.1,43.7,59.2,72.5,80.7,84.2,81.4,72.8,60.7,42.8,29.4,57.1
475808,105,NEILLSVILLE 3 SW,,MAX,44.533,-90.633,1035,2,,22,28.6,40.4,55.5,68.4,77.1,81,78.7,69.9,58.4,40.5,26.4,53.9
475863,106,NEWALD 4 N,,MAX,45.783,-88.7,1540,3,,20.3,26.6,37.4,52.4,66.5,73.8,77.6,75.4,65.5,54.5,37.6,24.8,51
475932,107,NEW LONDON,,MAX,44.35,-88.717,805,5,,24.3,29.5,40.7,55.6,69.1,78.1,81.9,79.1,71,58.8,42.3,28.8,54.9
476122,108,NORTH PELICAN,,MAX,45.633,-89.25,1610,2,,22.6,29.6,40.4,54.9,69.8,76.5,80,77.1,67.5,55.5,38.6,26.3,53.2
476200,109,OCONOMOWOC,,MAX,43.1,-88.5,856,9,,26.3,31.3,42.9,56.1,68.8,77.9,82.1,79.7,71.9,60.3,44.5,31.4,56.1
476208,110,OCONTO 4 W,,MAX,44.883,-87.95,660,3,,23.3,28.3,38.7,52.7,66.4,75.2,79.8,77.4,69.1,57.2,41.7,28.3,53.2
476330,112,OSHKOSH,,MAX,44.017,-88.55,750,6,,24.4,29.5,40.2,54.1,68,77.4,81.8,79.1,70.9,58.4,42.6,29.4,54.7
476357,113,OWEN 3 W,,MAX,44.967,-90.6,1242,2,,18.7,25,36.3,52.1,66.1,74.2,78.3,76.1,67.1,54.8,38.2,24,50.9
476398,114,PARK FALLS DNR HQ,,MAX,45.933,-90.45,1525,2,,19.5,26.2,37.2,51.7,66.1,73.3,77.2,75,65.8,53.8,36.8,23.5,50.5
476622,116,PITTSVILLE,,MAX,44.433,-90.133,1030,5,,24.9,31.3,42.2,57.6,70.8,78.7,82.2,80.2,71.8,59.9,42.5,29,55.9
476646,117,PLATTEVILLE,,MAX,42.75,-90.467,990,7,,24.9,31,43.3,57.7,69.4,79,82.6,80.4,72.5,60.8,43.4,30.1,56.3
476678,118,PLYMOUTH,,MAX,43.733,-87.967,834,6,,25.4,30,40.4,53.6,66.9,76.5,81,78.5,70.4,58.3,43.1,30.4,54.5
476718,119,PORTAGE,,MAX,43.533,-89.433,775,8,,24.9,30.5,42,56.4,69.1,78.5,82.2,79.7,71.5,59.8,43.4,30,55.7
476764,120,PORT WASHINGTON,,MAX,43.383,-87.867,600,9,,27.4,31.4,40.2,50,61.6,71.8,78,76.8,69.6,58.2,44.5,32.6,53.5
476772,121,PORT WING,,MAX,46.783,-91.383,651,1,,18.8,25.5,35.6,48.8,63.1,72.5,77.7,76,66,54.1,37.1,23.4,49.9
476827,122,PRAIRIE DU CHIEN,,MAX,43.033,-91.15,658,7,,25.4,32.3,44.7,59.2,70.8,80.6,84.4,81.8,73.8,62.5,44.6,31.1,57.6
476838,123,PRAIRIE DU SAC 2 N,,MAX,43.317,-89.733,780,7,,25.4,31.3,42.2,56.3,70,79.6,83.4,80.3,71.9,59.6,43.2,30.2,56.1
476859,124,PRENTICE NO. 2,,MAX,45.517,-90.283,1540,2,,19.3,26,37,51.9,65.6,73.3,77.5,75.4,66.2,54.4,37.1,23.6,50.6
476922,125,RACINE,,MAX,42.7,-87.783,595,9,,28.1,31.9,40.9,51.2,62.5,73.4,78.6,77.6,70.3,59,45.4,33.3,54.4
476939,126,RAINBOW RES LAKE TOMAHAW,,MAX,45.833,-89.55,1600,2,,20.5,26.8,37.2,51.4,65.7,73.2,77.2,75,65.8,53.8,37.3,24.6,50.7
477052,128,REEDSBURG,,MAX,43.533,-90.017,905,7,,27,33.4,44.6,59,71.3,79.1,82.6,80.2,72.3,60.9,44.3,30.9,57.1
477092,129,REST LAKE,,MAX,46.117,-89.883,1610,2,,18.5,25,36,51.3,66,72.8,76.4,74.2,64.6,53.3,35.8,22.7,49.7
477113,130,RHINELANDER,,MAX,45.617,-89.417,1580,2,,21.4,27.7,38.3,52.6,66.8,74.4,78.6,76.2,66.9,54.6,37.9,25.3,51.7
477132,132,RICE LAKE,,MAX,45.417,-91.783,1103,1,,19,26,37.5,53.9,67.2,76.1,80.1,77.9,68.1,56.3,37.7,23.2,51.9
477158,134,RICHLAND CENTER,,MAX,43.317,-90.383,723,7,,26.3,32.4,43.8,57.6,70.1,79.2,83.5,80.7,72.5,60.8,44.2,31,56.8
477174,135,RIDGELAND 1 NNE,,MAX,45.217,-91.883,960,4,,18.8,25.6,37.4,54.2,67.3,75.8,79.8,77.2,68,56.4,37.9,23.4,51.8
477226,137,RIVER FALLS,,MAX,44.85,-92.617,915,4,,21.6,28.5,40.8,57.1,69.8,78.9,83.1,80.7,71.7,59.6,40.6,26.1,54.9
477349,138,ROSHOLT 9 NNE,,MAX,44.75,-89.233,1160,5,,21.7,27.5,38.7,54.1,67.7,76.3,80.2,77.5,68.8,57.2,40.1,26.4,53
