TEMPERATURE NORMALS (Degrees Fahrenheit),,,,,,,,,,,,"Compiled by E.J. Hopkins, PhD Wisconsin State Climatology Office",,,,,,,,,,
473471,64,HATFIELD HYDRO PLANT,,MEAN,44.383,-90.767,892,4,,11.5,17.5,30.1,43.8,55.4,64.6,68.8,66.7,57.7,46.9,30.9,17.2,42.6,,,,0,-0.05,0,0,-0.05,-0.0125
473654,66,HILLSBORO,,MEAN,43.65,-90.333,940,7,,13.5,19.7,32,44.9,56.6,66.1,70.6,68.2,59.3,47.8,33.5,19.7,44.3,,,,-0.05,0,0,0,0,-0.0125
473698,67,HOLCOMBE,,MEAN,45.233,-91.133,1025,1,,9.7,16.3,28.6,42.9,55.6,64,68.7,66.3,57.4,46.1,30.7,16.1,41.9,,,,0,0,-0.05,-0.05,0,-0.025
473756,68,HORICON,,MEAN,43.433,-88.633,880,8,,16,20.6,32.3,45.3,57.8,67.2,71.6,69.1,60.6,49.2,35.4,22.3,45.6,,,,0,0,0,0,-0.05,-0.020833333
473800,69,HURLEY,,MEAN,46.467,-90.2,970,2,,9.5,14.6,25.6,39,52.6,61.5,65.9,64.4,55.5,44.1,29,15.7,39.8,,,,-0.05,0,0,0,-0.1,-0.025
474080,70,JUMP RIVER 3 E,,MEAN,45.367,-90.767,1265,2,,10.1,16.6,28.3,42.5,54.7,62.6,66.8,64.8,56.2,45.3,29.9,15.7,41.1,,,,-0.05,-0.05,0,-0.05,0,-0.016666667
474174,71,KENOSHA,,MEAN,42.567,-87.817,600,9,,20.8,25.1,34.4,44.1,54.9,65,71.3,70.8,62.9,51.7,38.8,26.9,47.2,,,,0,-0.05,-0.05,0,-0.1,-0.008333333
474195,72,KEWAUNEE 3 NW,,MEAN,44.483,-87.533,702,6,,18,21.2,30.9,41.5,52.7,62.4,68.6,67.6,59.9,48,35.5,23.4,44.1,,,,0,0,0,0,-0.05,-0.029166667
474370,73,LA CROSSE MUNICIPAL AP,,MEAN,43.883,-91.25,651,4,,15.9,22.6,34.6,48.4,60.6,69.6,74,71.6,62.7,50.6,35.5,21.8,47.3,,,,0,0,-0.05,-0.05,0,-0.020833333
474457,75,LAKE GENEVA,,MEAN,42.6,-88.433,880,9,,20.1,25.2,35.5,47.7,59.7,69.5,74.4,72.4,64.5,52.6,38.5,25.9,48.8,,,,-0.05,0,-0.05,-0.05,-0.05,-0.033333333
474482,76,LAKE MILLS,,MEAN,43.083,-88.917,852,8,,17.1,21.9,33.4,46.8,58.7,68.8,73.5,70.6,61.9,50.6,36,23.2,46.9,,,,-0.05,-0.05,-0.05,0.05,0,-0.020833333
474523,77,LAKEWOOD 3 NE,,MEAN,45.317,-88.5,1290,3,,11.9,16.9,28.1,41.6,54.6,63.2,67.8,65.6,56.7,45.1,30.9,17.6,41.7,,,,0,-0.05,0,-0.05,0,-0.025
474546,78,LANCASTER 4 WSW,,MEAN,42.833,-90.783,1040,7,,14.4,21,32.8,45.9,57.7,66.9,71.1,68.9,60.5,48.9,33.8,20.6,45.2,,,,0,0,0,-0.05,-0.05,-0.020833333
474582,79,LAONA 6 SW,,MEAN,45.5,-88.767,1525,3,,10.1,15.3,26.1,39.9,52.8,60.5,64.7,62.4,53.5,43.5,28.5,15.5,39.4,,,,0,-0.05,-0.05,0,-0.05,-0.020833333
474821,80,LONE ROCK TRI CO,,MEAN,43.2,-90.183,719,7,,13.8,19.3,31.8,45,57.3,67.1,70.5,68.2,59.5,47.9,34.1,20.5,44.6,,,,0,-0.05,-0.05,-0.05,0,-0.0375
474829,81,LONG LAKE DAM,,MEAN,45.883,-89.133,1630,2,,9.8,15,25.7,39.1,52.3,60.9,65.3,63.5,54.8,43.5,29.2,15.5,39.6,,,,-0.05,0,0,0,-0.05,-0.033333333
474894,82,LUCK,,MEAN,45.583,-92.483,1220,1,,10.7,17.7,29.8,44.5,57.4,65.3,69.9,67.8,59,47.3,30.7,16.1,43,,,,-0.05,-0.05,-0.05,0,0,-0.029166667
474937,83,LYNXVILLE DAM 9,,MEAN,43.217,-91.1,633,7,,17.3,23.4,35.3,48.9,60.8,69.9,74.3,72.1,63.8,52,36.7,23.3,48.2,,,,-0.05,0,0,-0.05,0.05,-0.025
474953,84,MADELINE ISLAND,,MEAN,46.783,-90.767,660,2,,12.2,16.3,25.6,38,49.5,58.9,65.6,64.8,56.5,45.4,31.5,19.2,40.3,,,,0,0,-0.05,0,-0.05,-0.025
474961,85,MADISON DANE CO AP,,MEAN,43.133,-89.35,858,8,,17.3,22.6,33.7,45.9,57.7,67,71.6,69.1,60.7,49.3,35.5,23,46.1,,,,-0.05,-0.05,0,0,0.05,-0.016666667
475017,86,MANITOWOC,,MEAN,44.083,-87.683,660,6,,18.7,22.9,32.2,43.1,54.6,64.1,69.9,68.5,60.7,49.1,36.4,24,45.4,,,,-0.05,-0.05,-0.05,-0.05,0,-0.020833333
475091,87,MARINETTE,,MEAN,45.083,-87.633,610,3,,16.5,20.7,30.6,42.9,55.5,65.2,70.5,68.3,59.9,48.2,34.9,22.3,44.6,,,,-0.05,-0.05,0,-0.05,-0.05,-0.025
475120,88,MARSHFIELD EXP FARM,,MEAN,44.633,-90.133,1250,5,,11.7,17.6,29.3,43.8,55.8,65.3,69.8,67.2,57.8,46.6,31.3,17.3,42.8,,,,-0.05,-0.05,0,0,0,-0.025
475164,90,MATHER 3 NW,,MEAN,44.183,-90.367,970,4,,12.9,19,30.4,44,56.2,64.9,69.2,66.9,58,46.7,32.5,18.7,43.3,,,,-0.05,-0.05,0,0,0,-0.033333333
475178,91,MAUSTON 1 SE,,MEAN,43.783,-90.067,865,5,,14.4,20,31.7,45.2,57,66.1,70.4,67.8,59.1,47.9,33.6,20.5,44.5,,,,-0.05,-0.05,0,0,0,-0.025
475255,92,MEDFORD,,MEAN,45.133,-90.35,1470,2,,9.7,15.6,27.6,42,55,63.5,68,66,56.8,44.9,30,15.8,41.2,,,,-0.05,0,0,-0.05,0,-0.0125
475286,93,MELLEN 4 NE,,MEAN,46.367,-90.65,1300,2,,8.2,14.2,25.7,39.2,52.5,61.2,66.2,64.1,54.9,43.8,29.1,14.6,39.5,,,,-0.05,-0.05,-0.05,0,-0.1,-0.020833333
475335,94,MENOMONIE,,MEAN,44.883,-91.933,780,4,,13.7,20.2,31.9,46.1,58.1,66.5,71,68.6,59.8,48.5,33.2,19.2,44.7,,,,-0.05,0,0,-0.05,0,-0.025
475364,95,MERRILL,,MEAN,45.167,-89.667,1253,2,,10.4,15.7,27.3,41.3,54.2,63.1,67.6,65.3,55.9,44.7,30.4,16.5,41,,,,-0.05,-0.05,0,-0.05,-0.05,0
475474,96,MILWAUKEE MT MARY COL,,MEAN,43.067,-88.033,726,9,,20,24.5,34.9,46.7,58.8,68.7,74.3,72,63.4,51.5,37.6,26,48.2,,,,-0.05,0,0,-0.05,0,-0.0375
475479,97,MILWAUKEE MITCHELL AP,,MEAN,42.95,-87.9,672,9,,20.7,25.4,34.9,45.2,56.1,66.3,72,70.6,63,51.4,38.4,26.2,47.5,,,,0,0,0.05,0,-0.05,-0.029166667
475516,98,MINOCQUA DAM,,MEAN,45.867,-89.717,1580,2,,8.9,14.3,25,39,53,61.4,65.7,63.6,54.8,43.2,28.5,14.6,39.3,,,,-0.05,0,-0.05,0,0,-0.016666667
475525,99,MINONG 5 WSW,,MEAN,46.067,-91.867,1075,1,,10,17.1,28.8,43.1,56.7,64.9,69.2,67.1,58,46.5,30.5,15.6,42.3,,,,-0.05,0,-0.05,-0.05,0,-0.033333333
475563,100,MONDOVI,,MEAN,44.567,-91.683,830,4,,14.1,20.8,32.8,47.3,59.2,67.9,72.1,69.8,61,49.5,33.8,19.8,45.7,,,,0,0,0,0,-0.1,-0.020833333
475581,102,MONTELLO,,MEAN,43.783,-89.317,786,5,,14.9,20.3,32.1,45.1,57.5,66.7,71.1,68.4,59.8,48.1,33.9,20.9,44.9,,,,-0.05,0,0,-0.05,0,-0.025
475786,104,NECEDAH,,MEAN,44.033,-90.083,925,5,,15.5,21.7,32.9,46.5,59,67.6,72,69.5,60.9,49.3,34.2,20.8,45.8,,,,-0.05,-0.05,-0.05,0,-0.05,-0.020833333
475808,105,NEILLSVILLE 3 SW,,MEAN,44.533,-90.633,1035,2,,11.1,17.4,29.3,43.3,55.3,64.4,68.6,66.6,57.3,46.2,30.6,16.7,42.2,,,,-0.05,-0.05,-0.05,0,0,-0.020833333
475863,106,NEWALD 4 N,,MEAN,45.783,-88.7,1540,3,,8.8,13.6,24.8,39,51.9,60.2,64.3,62.3,53.1,42.7,28.2,15,38.7,,,,0,-0.05,-0.05,0,0,-0.025
475932,107,NEW LONDON,,MEAN,44.35,-88.717,805,5,,14.5,19.5,30.5,44.2,57,66.2,70.5,67.6,59.1,47.7,33.6,20.3,44.2,,,,0,-0.05,-0.05,-0.05,-0.1,-0.025
476122,108,NORTH PELICAN,,MEAN,45.633,-89.25,1610,2,,10.6,15.9,27,40.9,54.5,62.7,66.7,64.4,55.4,44.4,29.8,16.1,40.7,,,,0,-0.05,-0.05,0,0,-0.020833333
476200,109,OCONOMOWOC,,MEAN,43.1,-88.5,856,9,,17.2,22.2,33.7,46.2,57.9,67.2,71.8,69.5,61,49.7,36.2,23.4,46.3,,,,-0.05,0,0,0,-0.05,-0.020833333
476208,110,OCONTO 4 W,,MEAN,44.883,-87.95,660,3,,13.9,18.4,29,42,54.4,63.7,68.4,66.1,57.5,46.4,33.2,20,42.8,,,,0,0,0,-0.05,0,-0.033333333
476330,112,OSHKOSH,,MEAN,44.017,-88.55,750,6,,16.1,20.9,31.5,44.6,57.8,67.4,72,69.5,60.9,49.2,35.1,22.1,45.6,,,,0,0,0,-0.05,-0.05,-0.025
476357,113,OWEN 3 W,,MEAN,44.967,-90.6,1242,2,,8.9,14.8,27,42,55,63.6,67.9,65.6,56.3,44.7,30.2,15.2,40.9,,,,-0.05,0,-0.05,0,0,-0.029166667
476398,114,PARK FALLS DNR HQ,,MEAN,45.933,-90.45,1525,2,,9.8,16.1,27.5,41.2,54.9,62.8,67.3,65.2,56,44.7,29.3,15.4,40.9,,,,-0.05,0,0,-0.05,0,-0.016666667
476622,116,PITTSVILLE,,MEAN,44.433,-90.133,1030,5,,14.3,20.3,31.6,45.5,57.2,65.7,69.4,67.5,59.1,48.1,33.4,20,44.3,,,,-0.05,0,0,-0.05,0,-0.020833333
476646,117,PLATTEVILLE,,MEAN,42.75,-90.467,990,7,,16.1,21.9,33.5,46.3,57.7,67.5,71.7,69.8,61.3,49.9,34.8,22.1,46.1,,,,0,-0.05,0,0,-0.05,-0.025
476678,118,PLYMOUTH,,MEAN,43.733,-87.967,834,6,,17.2,21.5,31.7,43.9,56,65.6,70.6,68.5,60.1,48.9,35.6,23.3,45.2,,,,0,0,0,0,0,-0.033333333
476718,119,PORTAGE,,MEAN,43.533,-89.433,775,8,,15.2,20.6,32,45.2,57.1,66.6,70.6,68.2,59.3,48.1,34.3,21.5,44.9,,,,0,-0.05,0,-0.05,0,-0.016666667
476764,120,PORT WASHINGTON,,MEAN,43.383,-87.867,600,9,,20.3,24.5,33.9,43.8,54.4,64.2,70.8,70.2,62.5,51.2,38,26,46.7,,,,0,-0.05,0,-0.05,0,-0.025
476772,121,PORT WING,,MEAN,46.783,-91.383,651,1,,9.6,15.9,26.6,39,50.8,60,66.1,65.2,56,45,30.2,15.5,40,,,,0,-0.05,0,-0.05,-0.05,-0.0125
476827,122,PRAIRIE DU CHIEN,,MEAN,43.033,-91.15,658,7,,15.8,22.1,34.3,47.9,59.3,69.2,73.3,71,62.2,50.9,35.3,22.5,47,,,,0,-0.05,0,-0.05,0,-0.025
476838,123,PRAIRIE DU SAC 2 N,,MEAN,43.317,-89.733,780,7,,15.9,21.3,32.6,46,58.6,67.9,72,69.4,60.7,49,34.4,21.9,45.8,,,,0,0,0,0,-0.05,-0.033333333
476859,124,PRENTICE NO. 2,,MEAN,45.517,-90.283,1540,2,,8.1,14,26.2,40.4,52.9,61.1,65.6,63.5,54.5,43.5,28.7,14.2,39.4,,,,-0.05,0,-0.05,-0.05,0,-0.008333333
476922,125,RACINE,,MEAN,42.7,-87.783,595,9,,20.7,25.2,34.5,44.2,54.6,65,71.3,70.8,63.1,51.6,38.8,26.6,47.2,,,,0,0,-0.05,-0.05,0,-0.0125
476939,126,RAINBOW RES LAKE TOMAHAW,,MEAN,45.833,-89.55,1600,2,,9.4,14.2,24.7,38.5,52.1,60.8,65.2,63.4,54.5,43.3,28.9,15.3,39.2,,,,0,0,0,0,0,-0.016666667
477052,128,REEDSBURG,,MEAN,43.533,-90.017,905,7,,17.2,23.3,34.2,47,58.5,67.2,71.3,69,60.9,49.7,35.5,22.2,46.3,,,,0,0,0,0,0,-0.033333333
477092,129,REST LAKE,,MEAN,46.117,-89.883,1610,2,,7.2,12.6,23.9,38.4,52.6,60.6,64.8,62.9,53.7,42.8,27.7,13.4,38.4,,,,0,0,0,-0.05,-0.05,-0.033333333
477113,130,RHINELANDER,,MEAN,45.617,-89.417,1580,2,,10.6,16.1,27.1,40.9,54,62.5,67.2,65.1,55.9,44.4,29.8,16.3,40.8,,,,0,-0.05,-0.05,0,-0.05,-0.020833333
477132,132,RICE LAKE,,MEAN,45.417,-91.783,1103,1,,8.9,16,28.7,43.5,56.3,65.1,69.5,67.2,57.6,46.3,30.2,14.9,42,,,,0,-0.05,-0.05,0,0,-0.020833333
477158,134,RICHLAND CENTER,,MEAN,43.317,-90.383,723,7,,15.4,21.1,32.8,45.6,57.1,66.4,70.9,68.5,59.7,47.9,33.8,21,45,,,,0,0,0,0,-0.1,-0.0375
477174,135,RIDGELAND 1 NNE,,MEAN,45.217,-91.883,960,4,,8.5,14.7,27.3,42.4,54.9,64.3,68.6,66.2,56.7,45.3,29.5,14.7,41.1,,,,-0.05,0,0,0,-0.05,-0.0375
477226,137,RIVER FALLS,,MEAN,44.85,-92.617,915,4,,11.2,17.7,29.9,44.3,56.6,66.4,70.7,68.5,59.3,47.7,31.4,17.2,43.4,,,,0,-0.05,-0.05,-0.05,0,-0.0375
477349,138,ROSHOLT 9 NNE,,MEAN,44.75,-89.233,1160,5,,11,16.4,27.9,42.1,54.8,63.5,67.8,65.4,56.5,45.3,30.6,16.9,41.5,,,,-0.05,-0.05,-0.05,0,-0.05,-0.016666667
477464,139,ST CROIX FALLS,,MEAN,45.417,-92.65,770,1,,11.7,18.8,31.1,45.9,59.1,67.3,72.1,70,60.7,48.6,32.4,17.9,44.6,,,,-0.05,-0.05,-0.05,0,-0.05,-0.020833333
477480,140,ST GERMAIN 2 E,,MEAN,45.9,-89.433,1645,2,,7.3,12,23.5,37.9,52.1,60.5,64.9,62.7,53.6,42.2,27.7,13.6,38.2,,,,0,0,0,-0.05,-0.05,-0.029166667
477708,142,SHAWANO 2 SSW,,MEAN,44.75,-88.617,810,3,,13.1,18,29.7,43.5,56,64.9,69.6,67,58,46.6,32.3,18.8,43.1,,,,0,-0.05,-0.05,-0.05,0.05,-0.0375
477725,143,SHEBOYGAN,,MEAN,43.75,-87.717,648,6,,20.9,25.6,34.3,44.3,55,65.1,71.4,70.5,62.8,51.1,38.2,26.2,47.1,,,,0,-0.05,0,0,0,-0.020833333
477892,144,SOLON SPRINGS,,MEAN,46.35,-91.817,1080,1,,7.3,14.2,26.4,40.6,53.8,62.8,67.8,65.6,55.6,44.1,28.2,13.3,40,,,,-0.05,-0.05,0,0,-0.05,-0.025
477997,146,SPARTA,,MEAN,43.933,-90.817,782,4,,13.3,19.8,32.2,45.5,57.6,66.7,71.1,68.8,59.7,48.2,33.5,19.4,44.7,,,,0,0,-0.05,0,0,-0.025
478027,148,SPOONER EXPERMNT FARM,,MEAN,45.817,-91.883,1100,1,,10.9,18,29.9,44.4,57.1,65.1,69.4,67.2,58.4,47.2,31.1,16.4,42.9,,,,0,-0.05,0,-0.05,0,-0.020833333
478110,150,STANLEY,,MEAN,44.967,-90.933,1090,1,,9.6,15.4,28.3,42.6,54.7,63.8,68.2,66.1,56.6,45.4,30.1,15.5,41.4,,,,0,0,-0.05,-0.05,-0.05,-0.0125
478171,151,STEVENS POINT,,MEAN,44.5,-89.583,1079,5,,13,17.9,29.6,43.6,56,65.3,69.7,67.3,58,46.3,31.9,18.4,43.1,,,,-0.05,-0.05,0,,0,-0.033333333
478229,152,STOUGHTON,,MEAN,42.617,-89.75,840,8,,16.6,21.7,33.2,45.6,57.9,67.5,71.5,69.1,60.4,49,35.3,22.2,45.8,,,,0,0,0,,0.05,-0.0125
478267,154,STURGEON BAY EXP FARM,,MEAN,44.867,-87.333,656,6,,16.1,19.4,29.6,41.4,53.4,63.1,68.6,67,59.3,47.4,34.8,22.8,43.6,,,,-0.05,0,0,,-0.05,-0.020833333
478349,157,SUPERIOR,,MEAN,46.7,-92.017,630,1,,12.1,18.1,28,39.4,50,58.9,66.6,65.6,57.3,45.7,31.4,17.5,40.9,,,,0,0,-0.05,,-0.05,-0.025
478589,158,TREMPEALEAU DAM 6,,MEAN,44,-91.433,660,4,,15.1,21.6,33.4,47.7,59.8,68.6,72.8,70.3,61.7,49.9,34.4,21,46.4,,,,-0.05,-0.05,0,,0,-0.025
478672,159,TWO RIVERS,,MEAN,44.133,-87.567,599,6,,17.6,21.2,30.7,41.2,51.8,61,67.2,66.9,59.6,47.8,35.2,23.5,43.6,,,,0,-0.05,-0.05,,0,-0.0375
478827,161,VIROQUA 2 S,,MEAN,43.533,-90.867,1160,7,,12.9,19.3,31.1,44.2,55.7,65,69.4,66.8,58,46.8,32,18.6,43.3,,,,0,0,-0.05,,0,-0.016666667
478905,162,WASHINGTON ISLAND,,MEAN,45.367,-86.933,600,6,,16.4,18,27.7,38.6,50,59.4,66.1,65.3,58.1,47,35.1,23.7,42.1,,,,0,-0.05,-0.05,,0,-0.025
478919,163,WATERTOWN,,MEAN,43.183,-88.733,825,8,,16.2,21.1,32.7,45.4,57.6,67.5,71.8,69.6,61.3,49.7,35.7,22.5,45.9,,,,0,0,0,,0,-0.020833333
478937,164,WAUKESHA,,MEAN,43.017,-88.233,830,9,,19.5,24.7,35.3,47.3,59.3,69.1,73.8,71.7,63.2,51.4,37.6,25.2,48.2,,,,-0.05,-0.05,-0.05,,,-0.020833333
478951,165,WAUPACA,,MEAN,44.35,-89.067,871,5,,15.2,20.3,31.3,44.3,56.6,65.6,70.3,67.9,59.3,47.9,34,20.7,44.5,,,,-0.05,0,-0.05,,,-0.025
478968,166,WAUSAU AP,,MEAN,44.933,-89.633,1196,2,,13,19,30.2,44,56.8,65.5,70.1,67.9,58.6,47,32.4,18.7,43.6,,,,0,0,-0.05,,,-0.008333333
479046,168,WEST ALLIS,,MEAN,43.017,-88,723,9,,19.9,24.7,34.5,46.1,58.6,68.3,73.8,72,64,52.3,38.5,26.1,48.2,,,,0,-0.05,0,,,-0.029166667
479050,169,WEST BEND,,MEAN,43.367,-88.083,940,9,,18.4,23.4,33.3,45,56.5,65.8,70.6,68.6,60.9,49.7,36.4,24.2,46.1,,,,0,-0.05,0,,,-0.025
479144,171,WEYERHAUSER,,MEAN,45.417,-91.417,1195,1,,10.3,16.9,28.8,43,55.4,63.3,68,66.1,57.1,45.4,30.1,15.5,41.7,,,,0,-0.05,-0.05,,,-0.029166667
479190,172,WHITEWATER,,MEAN,42.85,-88.733,875,9,,16.5,21.5,33.1,45.2,56.9,66.6,70.9,68.3,60.2,49,35.1,22.6,45.5,,,,0,0,-0.05,,,-0.0125
479236,173,WILLOW RESERVOIR,,MEAN,45.7,-89.85,1560,2,,8.1,13.5,24.4,38.6,52.1,60.9,65.5,63.2,54.4,43.2,28.7,14.6,38.9,,,,0,0,0,,,-0.025
479304,174,WINTER,,MEAN,45.817,-91.017,1397,1,,8.4,14.7,26,39.8,52.2,61,65.7,63.3,54.4,43,29,14.4,39.3,,,,0,-0.05,-0.05,,,-0.045833333
479319,175,WISCONSIN DELLS,,MEAN,43.617,-89.767,835,8,,14.3,20,31.4,44.4,56.6,65.8,70,67.8,59,47.3,33,20,44.1,,,,-0.05,0,0,,,
479335,176,WISCONSIN RAPIDS,,MEAN,44.383,-89.8,1040,5,,13.7,19.7,30.8,44.4,57,65.8,70.4,68,58.8,47,32.4,19.2,43.9,,,,-0.05,0,-0.05,,,

,,,max,,,,,,,28.6,33.5,45,60.1,72.7,81.6,85.6,83.1,75.3,62.5,46.1,33.8,58.6,,,85.6,,,,,,
,,,min,,,,,,,-6,-0.4,11.8,25.4,36.1,45.2,51,49.2,40.7,30.7,18.7,2.3,26.2,,,-6,,,,,,
